代码,名称,PE_TTM,总市值_亿,营业收入,净利润,报告期,币种
601939,建设银行,8.11173465,27729.640434654,761049000000.0,338906000000.0,2025-12-31,CNY
601398,工商银行,7.35180823,27300.719293017402,838270000000.0,368562000000.0,2025-12-31,CNY
601288,农业银行,7.94402442,23378.866662716402,725306000000.0,291041000000.0,2025-12-31,CNY
600941,中国移动,15.32018793,20805.7344248271,1050187000000.0,137095000000.0,2025-12-31,CNY
601988,中国银行,8.14437295,19977.169532468,658310000000.0,243021000000.0,2025-12-31,CNY
601857,中国石油,11.998227,18979.2753997266,2864469000000.0,157302000000.0,2025-12-31,CNY
300750,宁德时代,22.3901842,17682.96904374,423701834000.0,72201282000.0,2025-12-31,CNY
600938,中国海油,12.89446784,16074.6304373888,398220000000.0,122082000000.0,2025-12-31,CNY
600519,贵州茅台,19.32965392,15988.54367679,172054171890.91,82320067101.68,2025-12-31,CNY
601138,工业富联,33.9378453,13795.6129558368,902887188000.0,35285561000.0,2025-12-31,CNY
300308,中际旭创,83.8540253,12535.23736484,38239935640.67,10797254300.45,2025-12-31,CNY
601088,中国神华,19.89049873,10256.9334823616,294916000000.0,52849000000.0,2025-12-31,CNY
688981,中芯国际,202.33976531,10209.192473298,67323192000.0,5040734000.0,2025-12-31,CNY
600036,招商银行,6.47949624,9767.6462012673,337532000000.0,150181000000.0,2025-12-31,CNY
601628,中国人寿,6.70203495,9703.2732265,615678000000.0,154078000000.0,2025-12-31,CNY
601318,中国平安,7.17847237,9531.862746168,1050506000000.0,134778000000.0,2025-12-31,CNY
002594,比亚迪,29.71928512,8187.24341337,803964958000.0,32619022000.0,2025-12-31,CNY
688256,寒武纪,282.00581369,7662.032756955,6497196198.68,2059228538.67,2025-12-31,CNY
300502,新易盛,68.28724131,7333.79015784,24841854840.22,9531922730.17,2025-12-31,CNY
601899,紫金矿业,11.7802709,7267.2423061926,349079082852.0,51777327785.0,2025-12-31,CNY
600900,长江电力,18.91245228,6824.1859209924,86241940222.2,34502809176.39,2025-12-31,CNY
688041,海光信息,247.12533099,6736.861522954399,14376889476.95,2544890905.62,2025-12-31,CNY
000333,美的集团,14.70226982,6498.070107124499,458502407000.0,43945411000.0,2025-12-31,CNY
601328,交通银行,6.38816305,6158.9557603431,265071000000.0,95622000000.0,2025-12-31,CNY
601658,邮储银行,6.96924096,6124.847728092,355728000000.0,87404000000.0,2025-12-31,CNY
600028,中国石化,16.29302166,5792.3321312338,2783583000000.0,31809000000.0,2025-12-31,CNY
601728,中国电信,18.0294778,5710.0454548176,523924731368.75,33184733428.28,2025-12-31,CNY
002475,立讯精密,27.33116873,4705.2898924806,332344443143.39,16599769785.64,2025-12-31,CNY
002371,北方华创,82.86921454,4620.807927,39353112419.78,5521993004.86,2025-12-31,CNY
601998,中信银行,5.97032651,4251.2903969696,212475000000.0,70618000000.0,2025-12-31,CNY
601166,兴业银行,5.13063837,3976.5012656643,212741000000.0,77469000000.0,2025-12-31,CNY
002384,东山精密,189.42767447,3864.5087317668,40124858839.52,1386066705.56,2025-12-31,CNY
688347,华虹宏力,779.54365803,3846.351510268,17291450660.78,376611422.56,2025-12-31,CNY
600030,中信证券,11.22401929,3780.7214960778997,74854368352.85,30076100951.5,2025-12-31,CNY
603993,洛阳钼业,15.3861862,3716.1916775711998,206683649050.43,20338750797.53,2025-12-31,CNY
601869,长飞光纤,316.59611468,3663.5628934108004,14252103033.0,813737266.0,2025-12-31,CNY
600183,生益科技,92.58418765,3637.1202230790004,28431138459.44,3333954377.92,2025-12-31,CNY
603986,兆易创新,117.92187087,3389.830350585,9203463124.58,1648022651.7,2025-12-31,CNY
300394,天孚通信,147.91388671,3212.479900063,5163432471.16,2017266034.08,2025-12-31,CNY
688235,百济神州,101.36442658,3206.15174464,38224999000.0,1460710000.0,2025-12-31,CNY
688820,盛合晶微,325.08519582,3203.97144684,6521441906.27,920502023.19,2025-12-31,CNY
300476,胜宏科技,68.3531252,3198.7680093524,19292313457.36,4311988274.4,2025-12-31,CNY
600000,浦发银行,6.32598957,3180.70755765,173964000000.0,50017000000.0,2025-12-31,CNY
600276,恒瑞医药,38.40440645,3118.1565008052003,31629416193.83,7711054811.98,2025-12-31,CNY
000858,五粮液,24.57905348,3097.1350271895003,40528509770.23,8954257202.51,2025-12-31,CNY
601601,中国太保,5.72021267,3084.281470473,435156000000.0,53505000000.0,2025-12-31,CNY
300274,阳光电源,25.51013443,3042.43776472,89184357325.77,13461279955.37,2025-12-31,CNY
601211,国泰海通,13.82653458,3035.7010277538,63107440954.0,27809205680.0,2025-12-31,CNY
601319,中国人保,6.98475644,2976.2745662359002,669044000000.0,46646000000.0,2025-12-31,CNY
688795,摩尔线程,-341.39371703,2932.3650373979,1505525060.52,-1000786499.6,2025-12-31,CNY
603259,药明康德,14.38804276,2896.3330703584998,45456165774.18,19150582400.69,2025-12-31,CNY
301666,大普微,22110.81680636,2870.3036488,2288689249.92,-480671689.1,2025-12-31,CNY
688802,沐曦股份,-434.40287373,2848.712,1644085465.86,-789446296.82,2025-12-31,CNY
688012,中微公司,104.0776712,2840.1525181944,12384638268.11,2111472990.43,2025-12-31,CNY
688008,澜起科技,109.28802193,2795.171448027,5456316783.63,2235569970.18,2025-12-31,CNY
002415,海康威视,18.39372273,2747.62849069,92507796069.94,14195371894.42,2025-12-31,CNY
300059,东方财富,20.95568622,2746.7338983,16067741039.51,12084594947.22,2025-12-31,CNY
601225,陕西煤业,16.14635933,2610.8635,158178519718.2,16764763168.36,2025-12-31,CNY
600150,中国船舶,22.93007266,2592.576533716,151977991216.09,7848378198.33,2025-12-31,CNY
002916,深南电路,70.49832506,2562.276263752,23646977088.98,3275738151.27,2025-12-31,CNY
600487,亨通光电,78.21935078,2525.585671168,66854854380.79,2680269338.43,2025-12-31,CNY
300408,三环集团,87.6957872,2522.6854894473,9007153894.11,2618384303.84,2025-12-31,CNY
002938,鹏鼎控股,66.48418833,2468.17654077,39147009392.27,3737843458.4,2025-12-31,CNY
