代码,名称,PE_TTM,总市值_亿,营业收入,净利润,营收同比%,净利润同比%,ROE%,报告期,币种
00001,长和,21.62,2560.38,252934115920.0,10695028020.0,-0.4673877114,-30.705758427,2.157838771667,2025-12-31,HKD
00002,中电控股,17.56,1837.99,79499617960.0,9454906960.0,-3.2386438591,-10.8499403849,9.891101504736,2025-12-31,HKD
00003,香港中华煤气,22.27,1267.01,49068600686.0,5137696004.0,-2.0667786735,-0.4079488751,9.744949311085,2025-12-31,HKD
00004,九龙仓集团,1245.64,622.82,9932710340.0,45161000.0,-9.2282294676,101.5508684864,0.035268516853,2025-12-31,HKD
00005,汇丰控股,14.76,24417.84,452823411200.0,148321737600.0,3.1774503523,-7.9198848017,11.013627419767,2025-12-31,HKD
00006,电能实业,19.12,1192.35,696382620.0,5632479920.0,-16.1044613711,1.9120771368,7.014583720002,2025-12-31,HKD
00007,智富资源投资,-1.59,1.07,296906018.76,-107736419.64,-56.5076019013,94.0212179672,-5.573559307905,2024-12-31,HKD
00008,电讯盈科,-178.54,451.69,36356411440.0,-228514660.0,7.1757595122,15.6666666667,139.779005524862,2025-12-31,HKD
00010,恒隆集团,13.78,188.72,9406133080.0,1237411400.0,-11.4455782313,-15.0650960942,1.407604144726,2025-12-31,HKD
00012,恒基地产,23.33,1318.79,23249786020.0,5105902660.0,1.9203357618,-10.2128335451,1.753926011191,2025-12-31,HKD
00013,和黄医药,4.15,147.42,3855381145.6,3211521979.2,-12.9623723225,1111.0286517003,45.73995610292,2025-12-31,HKD
00014,希慎兴业,57.28,180.45,3128754080.0,284514300.0,1.6133763567,800.0,0.479273330341,2025-12-31,HKD
00016,新鸿基地产,15.44,3396.2,72701565950.0,17579660150.0,11.4885464157,1.2128530925,3.148375590412,2025-06-30,HKD
00017,新世界发展,-1.38,185.48,25243231975.0,-14866152925.0,-22.6417045347,17.1793790549,-9.490094097559,2025-06-30,HKD
00018,东方传媒集团,22.62,6.47,503022636.21,48387668.22,-13.340148427,-30.1773729626,3.059122379481,2025-03-31,HKD
00019,太古股份公司Ａ,37.67,1106.67,81711603740.0,2653660360.0,10.3673339921,-32.0064799815,1.134632354787,2025-12-31,HKD
00020,商汤－Ｗ,-33.25,650.14,5014640000.0,-1765929000.0,32.940236754,58.7243825529,-7.038415290093,2025-12-31,HKD
00021,大中华控股,-2.52,3.74,54761325.38,-133997203.1,-54.27125445,-36.5288693379,-23.129475484518,2025-12-31,HKD
00022,茂盛控股,0.29,1.04,34691025.36,-29549939.43,-63.3252358514,-58.8500843338,-8.730194432971,2025-03-31,HKD
00023,东亚银行,10.08,353.0,18984781180.0,3162173220.0,0.1906668573,-24.0234375,3.402696109399,2025-12-31,HKD
00025,CHEVALIER INT'L,-3.91,12.62,8550061477.35,-436580721.87,13.0406418481,-27.7272604552,-4.99111026828,2025-03-31,HKD
00026,中华汽车,-12.17,26.14,48390802.85,-168258422.8,-23.705248023,29.6374404601,-2.634919784855,2025-06-30,HKD
00027,银河娱乐,12.69,1354.94,44476652786.5,9640758023.3,13.3770079751,21.8571071235,13.418596643366,2025-12-31,HKD
00028,天安,3.22,57.03,9481868980.22,1597286763.92,248.5071544907,953.982741053,6.424850776214,2025-12-31,HKD
00029,达力集团,-33.08,25.81,59232976.4,-57082598.3,-9.2506950945,-101.1691170359,-0.854524139037,2025-06-30,HKD
00030,云白国际,478.97,21.94,1000927215.36202,4136773.79338,46.7919106519,-74.7242797859,1.482408790279,2025-12-31,HKD
00031,航天控股,-13.05,21.6,3641176979.38,-149509103.38,4.9422981607,-210.520194346,-2.294858601169,2025-12-31,HKD
00032,港通控股,4.12,29.82,839626086.24,653510379.48,-4.8086582268,66.5172263009,9.298719304584,2025-12-31,HKD
00033,INTL GENIUS,-14.43,2.23,206914595.48,-36498985.88,-32.1151381586,-3.3092224231,-9.566298002227,2024-06-30,HKD
00034,九龙建业,51.32,67.01,4473940400.06,117937951.5,-8.098988357,12.8936037765,0.747491459878,2025-12-31,HKD
00035,远东发展,-1.47,22.03,8833544702.22,-1176720835.26,-6.1884051821,-663.9637328616,-11.859388086222,2025-03-31,HKD
00036,远东控股国际,-1.22,0.9,10684189.38,-66274670.72,-16.5384886757,78.6382215597,-5523.22167858487,2025-12-31,HKD
00037,远东酒店实业,-18.18,3.73,17105073.01482,-32630200.16286,-21.0265403548,-7.0921007388,-11.092671572399,2025-03-31,HKD
00038,第一拖拉机股份,9.22,88.21,10822591178.94,811953460.29,-9.0872482133,-11.9378503484,10.886712148001,2025-12-31,HKD
